(Lookback, Entry1, Entry2, Exit1, Exit2, Stop-loss1, Stop-loss2)
(60, 1, 1.5, 0, 0.5, 3, 3): Return: 4.21%, Hit Ratio: 76.29%, Max Drawdown: 0.36%
(60, 1, 1.5, 0, 0.5, 3.5, 3): Return: 4.21%, Hit Ratio: 76.29%, Max Drawdown: 0.36%
(60, 1.5, 2, 0, 0.5, 3, 3): Return: 4.21%, Hit Ratio: 70.45%, Max Drawdown: 0.5%
(60, 1.5, 2, 0, 0.5, 3.5, 3): Return: 4.21%, Hit Ratio: 70.45%, Max Drawdown: 0.5%
(100, 1, 1.5, -0.5, -0.5, 2.5, 2.5): Return: 4.21%, Hit Ratio: 80.3%, Max Drawdown: 0.74%
(100, 1, 1.5, -0.5, -0.5, 3, 2.5): Return: 4.21%, Hit Ratio: 83.08%, Max Drawdown: 0.74%
(100, 1, 1.5, 0.5, 0.5, 3, 3): Return: 4.21%, Hit Ratio: 74.19%, Max Drawdown: 0.43%
(100, 1, 1.5, 0.5, 0.5, 3, 3.5): Return: 4.21%, Hit Ratio: 74.19%, Max Drawdown: 0.43%
(30, 1, 2, 0.5, -0.5, 3.5, 2.5): Return: 4.19%, Hit Ratio: 69.0%, Max Drawdown: 0.34%
(30, 1, 2, 0.5, 0.5, 3.5, 2.5): Return: 4.19%, Hit Ratio: 70.59%, Max Drawdown: 0.34%
(60, 1, 1.5, 0, 0, 2.5, 2.5): Return: 4.19%, Hit Ratio: 79.07%, Max Drawdown: 0.36%
(30, 1.5, 1.5, 0.5, -0.5, 2.5, 3): Return: 4.18%, Hit Ratio: 61.54%, Max Drawdown: 0.33%
